,sample_id,source_sample_id,subject_id,replicate,replicate_count,repeated_sample,batch,tissue,brain_region,source_RIN,RIN,molecular_source,input_cell_count,assay,sequencing_end,sequencing_length,sequencing_instrument,file_type,file_name,file_description,file_MD5,technology,omic,adjustment,content,time,header,annotation,preprocessing_references,configuration_file,organism_ontology_term_id,development_stage_ontology_term_id,sex_ontology_term_id,self_reported_ethnicity_ontology_term_id,disease_ontology_term_id,tissue_ontology_term_id,cell_type_ontology_term_id,assay_ontology_term_id,suspension_type,DV200,pm_PH,donor_id
0,HSDG07,HSDG07,HC01,Rep1,1,0,Batch_1,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HSDG07HC_HHT_S6_L004_I1_001.fastq.gz,Nan,37912362469bc61a936dcc39a2b75138  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000383 (female),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
1,HSDG07,HSDG07,HC01,Rep1,1,0,Batch_1,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HSDG07HC_HHT_S6_L004_R1_001.fastq.gz,Nan,B4d94bd92286d318de2b013ea44c5246  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000383 (female),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
2,HSDG07,HSDG07,HC01,Rep1,1,0,Batch_1,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HSDG07HC_HHT_S6_L004_R2_001.fastq.gz,Nan,2a3c2c2303948f15d74b89ae4cbff409  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000383 (female),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
3,HSDG101,HSDG101,HC03,Rep1,1,0,Batch_2,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HsDG101HC_HHT_S2_L002_I1_001.fastq.gz,Nan,1fbdbaba5e604aa852b9dc6af9e3dea4  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000383 (female),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
4,HSDG101,HSDG101,HC03,Rep1,1,0,Batch_2,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HsDG101HC_HHT_S2_L002_R1_001.fastq.gz,Nan,3e14c63f5c55b4f29fcb0b1af5992924  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000383 (female),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
5,HSDG101,HSDG101,HC03,Rep1,1,0,Batch_2,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HsDG101HC_HHT_S2_L002_R2_001.fastq.gz,Nan,F34b13c20fd03611b5772037bac11b37  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000383 (female),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
6,HSDG10,HSDG10,HC04,Rep1,1,0,Batch_1,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HSDG10HC_HHT_S7_L004_I1_001.fastq.gz,Nan,7649f0db658f8d697b82a0ddc2dfedad  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000384 (male),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
7,HSDG10,HSDG10,HC04,Rep1,1,0,Batch_1,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HSDG10HC_HHT_S7_L004_R1_001.fastq.gz,Nan,309aa23c50a13bb99ad88cdc4579d77d  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000384 (male),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
8,HSDG10,HSDG10,HC04,Rep1,1,0,Batch_1,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HSDG10HC_HHT_S7_L004_R2_001.fastq.gz,Nan,187af38f53ba8b760e1da2e3fe602051  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000384 (male),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
9,HSDG13,HSDG13,HC02,Rep1,1,0,Batch_2,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HsDG13HC_HHT_S1_L002_I1_001.fastq.gz,Nan,D3b2e5364b57bfa4a1f50166a9043949  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000383 (female),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
